entity,code,year,maternal_mortality_ratio,world_region_according_to_owid,schooling
Afghanistan,AFG,2020,620.40753,Asia,2.0498366
Africa,,2020,464.0011,,5.3237023
Albania,ALB,2020,8.276446,Europe,9.811468
Algeria,DZA,2020,77.694786,Africa,6.6953497
Angola,AGO,2020,221.90651,Africa,4.462809
Antigua and Barbuda,ATG,2020,21.247948,North America,12.210698
Argentina,ARG,2020,44.900078,South America,11.39
Armenia,ARM,2020,27.18972,Asia,11.32
Asia,,2020,99.1639,,7.0461464
Australia,AUS,2020,2.9415095,Oceania,12.73
Austria,AUT,2020,5.2283883,Europe,12.051255
Azerbaijan,AZE,2020,40.763668,Asia,10.4625
Bahamas,BHS,2020,77.05064,North America,12.818675
Bahrain,BHR,2020,15.8978815,Asia,10.73
Bangladesh,BGD,2020,123.028244,Asia,6.47
Barbados,BRB,2020,39.108013,North America,10.346441
Belarus,BLR,2020,1.1019173,Europe,12.262033
Belgium,BEL,2020,4.755863,Europe,12.504332
Belize,BLZ,2020,129.78827,North America,9.04
Benin,BEN,2020,522.6048,Africa,2.006425
Bhutan,BTN,2020,59.947754,Asia,5.2117224
Bolivia,BOL,2020,160.9074,South America,9.22
Bosnia and Herzegovina,BIH,2020,5.668399,Europe,9.78
Botswana,BWA,2020,185.89684,Africa,10.36
Brazil,BRA,2020,72.14754,South America,8.4782
Brunei,BRN,2020,44.236057,Asia,9.23
Bulgaria,BGR,2020,7.086025,Europe,11.51
Burkina Faso,BFA,2020,263.7554,Africa,1.53629
Burundi,BDI,2020,494.4298,Africa,2.6505294
Cambodia,KHM,2020,217.98315,Asia,4.12324
Cameroon,CMR,2020,437.75287,Africa,5.633948
Canada,CAN,2020,11.012866,North America,13.908
Cape Verde,CPV,2020,42.24144,Africa,5.807282
Central African Republic,CAF,2020,835.266,Africa,2.656642
Chad,TCD,2020,1063.4933,Africa,1.292735
Chile,CHL,2020,15.030739,South America,11.022552
China,CHN,2020,23.047634,Asia,7.64
Colombia,COL,2020,74.7629,South America,9.02
Comoros,COM,2020,216.95372,Africa,4.867535
Congo,COG,2020,282.38577,Africa,7.242174
Costa Rica,CRI,2020,22.003805,North America,8.89
Cote d'Ivoire,CIV,2020,479.90674,Africa,4.0485716
Croatia,HRV,2020,4.8168216,Europe,11.716808
Cuba,CUB,2020,39.254543,North America,10.647671
Cyprus,CYP,2020,68.40658,Europe,12.41
Czechia,CZE,2020,3.3740165,Europe,12.772924
Democratic Republic of Congo,COD,2020,547.3603,Africa,5.8493733
Denmark,DNK,2020,4.657717,Europe,13.16
Djibouti,DJI,2020,234.49008,Africa,2.6823103
Dominican Republic,DOM,2020,107.34755,North America,9.560801
East Timor,TLS,2020,203.92422,Asia,5.5093226
Ecuador,ECU,2020,65.74967,South America,8.8
Egypt,EGY,2020,16.81971,Africa,10.227605
El Salvador,SLV,2020,42.790462,North America,6.77
Eritrea,ERI,2020,321.55072,Africa,3.9753578
Estonia,EST,2020,5.179642,Europe,13.78
Eswatini,SWZ,2020,239.6324,Africa,8.041114
Ethiopia,ETH,2020,266.68954,Africa,1.6718125
Europe,,2020,8.403015,,12.237491
Fiji,FJI,2020,38.046795,Oceania,10.49758
Finland,FIN,2020,8.3389015,Europe,13.117025
France,FRA,2020,7.9090786,Europe,11.534381
Gabon,GAB,2020,226.55043,Africa,10.42
Gambia,GMB,2020,458.24033,Africa,3.67225
Georgia,GEO,2020,27.608246,Asia,12.833333
Germany,DEU,2020,4.42844,Europe,13.99
Ghana,GHA,2020,263.10858,Africa,5.747772
Greece,GRC,2020,7.654345,Europe,11.1
Grenada,GRD,2020,21.13829,North America,9.235205
Guatemala,GTM,2020,95.502075,North America,5.275063
Guinea,GIN,2020,553.4016,Africa,1.4077072
Guinea-Bissau,GNB,2020,725.0924,Africa,2.470246
Guyana,GUY,2020,111.94294,South America,8.703121
Haiti,HTI,2020,350.40024,North America,4.77153
High-income countries,,2020,12.444008,,12.626561
Honduras,HND,2020,71.819275,North America,6.8716383
Hungary,HUN,2020,15.048886,Europe,12.1
Iceland,ISL,2020,2.6544178,Europe,13.87
India,IND,2020,102.653915,Asia,5.37
Indonesia,IDN,2020,172.9225,Asia,8.21
Iran,IRN,2020,22.018887,Asia,10.748192
Iraq,IRQ,2020,76.11046,Asia,5.5154805
Ireland,IRL,2020,4.9839573,Europe,11.866243
Israel,ISR,2020,2.8378618,Asia,13.480231
Italy,ITA,2020,4.590939,Europe,10.61
Jamaica,JAM,2020,98.8789,North America,9.975952
Japan,JPN,2020,4.3149095,Asia,12.35
Jordan,JOR,2020,41.31479,Asia,10.07
Kazakhstan,KAZ,2020,13.383632,Asia,12.458342
Kenya,KEN,2020,529.9623,Africa,7.1096
Kiribati,KIR,2020,76.33472,Oceania,9.292068
Kuwait,KWT,2020,7.1708984,Asia,8.278674
Kyrgyzstan,KGZ,2020,50.382442,Asia,11.883457
Laos,LAO,2020,126.06175,Asia,4.9950094
Latvia,LVA,2020,18.321623,Europe,13.651486
Lebanon,LBN,2020,20.624624,Asia,13.05
Lesotho,LSO,2020,566.20624,Africa,8.189359
Liberia,LBR,2020,652.33875,Africa,4.237494
Libya,LBY,2020,72.127106,Africa,8.435953
Lithuania,LTU,2020,8.660484,Europe,13.58
Low-income countries,,2020,409.01926,,3.1298306
Lower-middle-income countries,,2020,261.34378,,5.981181
Luxembourg,LUX,2020,6.4855,Europe,12.724315
Madagascar,MDG,2020,391.51694,Africa,4.4782333
Malawi,MWI,2020,380.66992,Africa,4.29215
Malaysia,MYS,2020,21.131931,Asia,10.706666
Maldives,MDV,2020,56.6938,Asia,7.299376
Mali,MLI,2020,440.22476,Africa,1.14
Malta,MLT,2020,2.8927798,Europe,12
Mauritania,MRT,2020,463.83212,Africa,4.1127844
Mauritius,MUS,2020,84.35797,Africa,9.867237
Mexico,MEX,2020,59.125072,North America,9.1
Micronesia (country),FSM,2020,74.311935,Oceania,6.891142
Moldova,MDA,2020,12.264771,Europe,11.86
Mongolia,MNG,2020,39.493614,Asia,9.95
Montenegro,MNE,2020,6.174434,Europe,12.068945
Morocco,MAR,2020,71.85186,Africa,5.14
Mozambique,MOZ,2020,127.11053,Africa,3.23
Myanmar,MMR,2020,178.67436,Asia,6.09
Namibia,NAM,2020,214.63507,Africa,7.511886
Nepal,NPL,2020,174.41017,Asia,3.359325
Netherlands,NLD,2020,4.311739,Europe,12.35
New Zealand,NZL,2020,7.030437,Oceania,12.94
Nicaragua,NIC,2020,77.87857,North America,9.756932
Niger,NER,2020,441.07254,Africa,0.965616
Nigeria,NGA,2020,1047.2354,Africa,6.206915
North America,,2020,51.857788,,11.876197
North Macedonia,MKD,2020,3.0359654,Europe,9.65
Norway,NOR,2020,1.6637414,Europe,13.215338
Oceania,,2020,81.61809,,10.5704155
Oman,OMN,2020,17.006712,Asia,12.27
Pakistan,PAK,2020,154.16394,Asia,3.933024
Palestine,PSE,2020,20.434313,Asia,9.92
Panama,PAN,2020,49.517273,North America,10.93934
Papua New Guinea,PNG,2020,191.83875,Oceania,4.2157865
Paraguay,PRY,2020,71.1228,South America,8.86
Peru,PER,2020,68.53598,South America,9.444374
Philippines,PHL,2020,78.23626,Asia,9.12
Poland,POL,2020,1.9594656,Europe,13.34
Portugal,PRT,2020,11.799455,Europe,9.61
Qatar,QAT,2020,7.605434,Asia,12.146
Romania,ROU,2020,10.070802,Europe,11.1
Russia,RUS,2020,13.722793,Europe,12.468182
Rwanda,RWA,2020,258.92462,Africa,4.52207
Saint Lucia,LCA,2020,73.26798,North America,8.832013
Saint Vincent and the Grenadines,VCT,2020,61.794033,North America,11.305002
Samoa,WSM,2020,59.079075,Oceania,11.768403
Sao Tome and Principe,STP,2020,146.24005,Africa,5.2732463
Saudi Arabia,SAU,2020,16.203758,Asia,10.74
Senegal,SEN,2020,260.8806,Africa,2.345183
Serbia,SRB,2020,10.1813345,Europe,11.19242
Seychelles,SYC,2020,3.3332093,Africa,11.016344
Sierra Leone,SLE,2020,442.8304,Africa,2.4264886
Singapore,SGP,2020,7.4527626,Asia,11.42
Slovakia,SVK,2020,4.824666,Europe,12.989404
Slovenia,SVN,2020,4.533144,Europe,12.930424
Solomon Islands,SLB,2020,122.24951,Oceania,5.5095496
South Africa,ZAF,2020,126.83269,Africa,10.47361
South America,,2020,84.53931,,9.190652
South Korea,KOR,2020,8.1156225,Asia,11.987855
South Sudan,SSD,2020,1222.5309,Africa,4.76
Spain,ESP,2020,3.4412515,Europe,10.53
Sri Lanka,LKA,2020,28.842306,Asia,10.809999
Sudan,SDN,2020,270.35535,Africa,3.5
Suriname,SUR,2020,96.45955,South America,8.558196
Sweden,SWE,2020,4.507839,Europe,12.849464
Switzerland,CHE,2020,7.3787546,Europe,13.545101
Syria,SYR,2020,29.917326,Asia,5.129877
